background, person, image, K, BER, SNR
1, 2, 4, 4, 0.001497354867277261, 5
1, 2, 4, 4, 0.00040783984711832016, 6
1, 2, 4, 4, 5.826283530261717e-06, 7
1, 2, 4, 8, 0.07901023095387914, 1
1, 2, 4, 8, 0.042450301801486866, 2
1, 2, 4, 8, 0.01924421450045445, 3
1, 2, 4, 8, 0.006391433032697103, 4
1, 2, 4, 8, 0.0015497914190496166, 5
1, 2, 4, 8, 0.00018644107296837494, 6
1, 2, 4, 8, 6.99154023631406e-05, 7
1, 2, 4, 16, 0.08502878184063949, 1
1, 2, 4, 16, 0.036262788692348925, 2
1, 2, 4, 16, 0.012409983919457456, 3
1, 2, 4, 16, 0.0030937565545689715, 4
1, 2, 4, 16, 0.00044279754829989044, 5
1, 2, 4, 16, 0.00012235195413549604, 6
1, 2, 4, 16, 0.0, 7
